bnc_id,consecutive_id ,filename,modality,s_text,s_verb_cnt,s_aux_cnt,s_tot_obj_cnt,s_dir_obj_cnt,s_ind_obj_cnt,s_trans,s_comma_cnt,s_sub_conj_cnt,s_coord_conj_cnt,s_rel_clause_cnt,s_adv_clause_cnt,clausal_comp_cnt,s_pp_cnt,w_idx,w_tok,phr_tok,surprisal,w_surp,w_pos,w_dep,is_noun,is_bare_np,np_struct,head_pos,det_pos,head_dep,det_dep,head_text,det_text,np_sum_surp,np_mean_surp,argPos,np_num,definiteness,is_np_head
A00_0001,A00_0001,A00.xml,written,FACTSHEET WHAT IS AIDS ?,0,1,0,0,0,False,0,0,0,0,0,0,0,0,FACTSHEET,FACTSHEET,5.644205729166667,5.644205729166667,NOUN,attr,True,True,NOUN,NOUN,,attr,,FACTSHEET,,5.644205729166667,5.644205729166667,non-arg,sing,indef,True
A00_0001,A00_0001,A00.xml,written,FACTSHEET WHAT IS AIDS ?,0,1,0,0,0,False,0,0,0,0,0,0,0,1,WHAT,WHAT,7.5,7.5,PRON,attr,True,True,PRON,PRON,,attr,,WHAT,,7.5,7.5,non-arg,unmarked,def,True
A00_0001,A00_0001,A00.xml,written,FACTSHEET WHAT IS AIDS ?,0,1,0,0,0,False,0,0,0,0,0,0,0,2,IS,IS,0.736328125,0.736328125,AUX,ROOT,False,,,,,,,,,,,,,,
A00_0001,A00_0001,A00.xml,written,FACTSHEET WHAT IS AIDS ?,0,1,0,0,0,False,0,0,0,0,0,0,0,3,AIDS,AIDS,9.390625,9.390625,PROPN,nsubj,True,True,PROPN,PROPN,,nsubj,,AIDS,,9.390625,9.390625,sbj,sing,def,True
A00_0001,A00_0001,A00.xml,written,FACTSHEET WHAT IS AIDS ?,0,1,0,0,0,False,0,0,0,0,0,0,0,4,?,?,4.640625,4.640625,PUNCT,punct,False,,,,,,,,,,,,,,
A00_0002,A00_0002,A00.xml,written,is a condition caused by a virus called HIV ( Human Immuno Deficiency Virus ) .,2,0,0,0,0,False,0,0,0,0,0,0,1,0,is,is,6.85546875,6.85546875,AUX,ROOT,False,,,,,,,,,,,,,,
A00_0002,A00_0002,A00.xml,written,is a condition caused by a virus called HIV ( Human Immuno Deficiency Virus ) .,2,0,0,0,0,False,0,0,0,0,0,0,1,1,a,a condition,2.693115234375,0.94873046875,DET,det,True,False,DET + NOUN,NOUN,DET,attr,det,condition,a,5.38623046875,2.693115234375,non-arg,sing,indef,False
A00_0002,A00_0002,A00.xml,written,is a condition caused by a virus called HIV ( Human Immuno Deficiency Virus ) .,2,0,0,0,0,False,0,0,0,0,0,0,1,2,condition,a condition,2.693115234375,4.4375,NOUN,attr,True,False,DET + NOUN,NOUN,DET,attr,det,condition,a,5.38623046875,2.693115234375,non-arg,sing,indef,True
A00_0002,A00_0002,A00.xml,written,is a condition caused by a virus called HIV ( Human Immuno Deficiency Virus ) .,2,0,0,0,0,False,0,0,0,0,0,0,1,3,caused,caused,1.169921875,1.169921875,VERB,acl,False,,,,,,,,,,,,,,
A00_0002,A00_0002,A00.xml,written,is a condition caused by a virus called HIV ( Human Immuno Deficiency Virus ) .,2,0,0,0,0,False,0,0,0,0,0,0,1,4,by,by,0.0253448486328125,0.0253448486328125,ADP,agent,False,,,,,,,,,,,,,,
A00_0002,A00_0002,A00.xml,written,is a condition caused by a virus called HIV ( Human Immuno Deficiency Virus ) .,2,0,0,0,0,False,0,0,0,0,0,0,1,5,a,a virus,1.382568359375,1.990234375,DET,det,True,False,DET + NOUN,NOUN,DET,pobj,det,virus,a,2.76513671875,1.382568359375,prep_object,sing,indef,False
A00_0002,A00_0002,A00.xml,written,is a condition caused by a virus called HIV ( Human Immuno Deficiency Virus ) .,2,0,0,0,0,False,0,0,0,0,0,0,1,6,virus,a virus,1.382568359375,0.77490234375,NOUN,pobj,True,False,DET + NOUN,NOUN,DET,pobj,det,virus,a,2.76513671875,1.382568359375,prep_object,sing,indef,True
