Sentence_ID ,Filename,Modality,Sentence_Text,Sent_Verb_Count,Sent_Auxiliary_Count,Sent_Subject_Count,Sent_Tot_Obj_Count,Sent_Dir_Object_Count,Sent_Ind_Object_Count,Sent_Transitive,Sent_Comma_Count,Sent_Sub_Conj_Count,Sent_Coord_Conj_Count,Sent_Relative_Clause_Count,Sent_Adv_Clause_Count,Clausal_Complement_Count,Sent_Prep_Phrase_Count,Word_Token_Index,Word_Token,Phrase_Token,Phrase_Surprisal,Word_Surprisal,Word_Lemma,Word_POS,Word_Dependency,Is_NP,NP_Is_Bare_NP,NP_Structure,NP_Head_Lemma,NP_Det_Lemma,NP_Head_POS,NP_Det_POS,NP_Head_Dependency,NP_Det_Dependency,NP_Head_Text,NP_Det_Text,NP_Sum_Surprisal,NP_Mean_Surprisal,NP_Argument,NP_Number,NP_Definiteness,Is_Head_Noun
A00_0001,A00.xml,written,is a condition caused by a virus called HIV ( Human Immuno Deficiency Virus ) .,2,1,0,0,0,0,False,0,0,0,0,0,0,1,0,is,is,21.90625,21.90625,be,AUX,ROOT,False,,,,,,,,,,,,,,,,
A00_0001,A00.xml,written,is a condition caused by a virus called HIV ( Human Immuno Deficiency Virus ) .,2,1,0,0,0,0,False,0,0,0,0,0,0,1,1,a,a condition,12.953125,13.8828125,a,DET,det,True,False,DET + NOUN,condition,a,NOUN,DET,attr,det,condition,a,25.90625,12.953125,non-arg,singular,indefinite,False
A00_0001,A00.xml,written,is a condition caused by a virus called HIV ( Human Immuno Deficiency Virus ) .,2,1,0,0,0,0,False,0,0,0,0,0,0,1,2,condition,a condition,12.953125,12.0234375,condition,NOUN,attr,True,False,DET + NOUN,condition,a,NOUN,DET,attr,det,condition,a,25.90625,12.953125,non-arg,singular,indefinite,True
A00_0001,A00.xml,written,is a condition caused by a virus called HIV ( Human Immuno Deficiency Virus ) .,2,1,0,0,0,0,False,0,0,0,0,0,0,1,3,caused,caused,13.796875,13.796875,cause,VERB,acl,False,,,,,,,,,,,,,,,,
A00_0001,A00.xml,written,is a condition caused by a virus called HIV ( Human Immuno Deficiency Virus ) .,2,1,0,0,0,0,False,0,0,0,0,0,0,1,4,by,by,16.75,16.75,by,ADP,agent,False,,,,,,,,,,,,,,,,
A00_0001,A00.xml,written,is a condition caused by a virus called HIV ( Human Immuno Deficiency Virus ) .,2,1,0,0,0,0,False,0,0,0,0,0,0,1,5,a,a virus,14.28125,14.734375,a,DET,det,True,False,DET + NOUN,virus,a,NOUN,DET,pobj,det,virus,a,28.5625,14.28125,prep_object,singular,indefinite,False
A00_0001,A00.xml,written,is a condition caused by a virus called HIV ( Human Immuno Deficiency Virus ) .,2,1,0,0,0,0,False,0,0,0,0,0,0,1,6,virus,a virus,14.28125,13.828125,virus,NOUN,pobj,True,False,DET + NOUN,virus,a,NOUN,DET,pobj,det,virus,a,28.5625,14.28125,prep_object,singular,indefinite,True
A00_0001,A00.xml,written,is a condition caused by a virus called HIV ( Human Immuno Deficiency Virus ) .,2,1,0,0,0,0,False,0,0,0,0,0,0,1,7,called,called,13.4609375,13.4609375,call,VERB,acl,False,,,,,,,,,,,,,,,,
A00_0001,A00.xml,written,is a condition caused by a virus called HIV ( Human Immuno Deficiency Virus ) .,2,1,0,0,0,0,False,0,0,0,0,0,0,1,8,HIV,HIV,14.953125,14.953125,HIV,PROPN,oprd,True,True,PROPN,HIV,,PROPN,,oprd,,HIV,,14.953125,14.953125,non-arg,singular,definite,True
A00_0001,A00.xml,written,is a condition caused by a virus called HIV ( Human Immuno Deficiency Virus ) .,2,1,0,0,0,0,False,0,0,0,0,0,0,1,9,(,(,14.4140625,14.4140625,(,PUNCT,punct,False,,,,,,,,,,,,,,,,
A00_0001,A00.xml,written,is a condition caused by a virus called HIV ( Human Immuno Deficiency Virus ) .,2,1,0,0,0,0,False,0,0,0,0,0,0,1,10,Human,Human Immuno Deficiency Virus,20.474609375,16.96875,Human,PROPN,compound,True,True,PROPN + PROPN + PROPN + PROPN,Virus,,PROPN,,appos,,Virus,,81.8984375,20.474609375,non-arg,singular,definite,False
A00_0001,A00.xml,written,is a condition caused by a virus called HIV ( Human Immuno Deficiency Virus ) .,2,1,0,0,0,0,False,0,0,0,0,0,0,1,11,Immuno,Human Immuno Deficiency Virus,20.474609375,19.8515625,Immuno,PROPN,compound,True,True,PROPN + PROPN + PROPN + PROPN,Virus,,PROPN,,appos,,Virus,,81.8984375,20.474609375,non-arg,singular,definite,False
A00_0001,A00.xml,written,is a condition caused by a virus called HIV ( Human Immuno Deficiency Virus ) .,2,1,0,0,0,0,False,0,0,0,0,0,0,1,12,Deficiency,Human Immuno Deficiency Virus,20.474609375,25.34375,Deficiency,PROPN,compound,True,True,PROPN + PROPN + PROPN + PROPN,Virus,,PROPN,,appos,,Virus,,81.8984375,20.474609375,non-arg,singular,definite,False
A00_0001,A00.xml,written,is a condition caused by a virus called HIV ( Human Immuno Deficiency Virus ) .,2,1,0,0,0,0,False,0,0,0,0,0,0,1,13,Virus,Human Immuno Deficiency Virus,20.474609375,19.734375,Virus,PROPN,appos,True,True,PROPN + PROPN + PROPN + PROPN,Virus,,PROPN,,appos,,Virus,,81.8984375,20.474609375,non-arg,singular,definite,True
